x,z
30,14
29,15
28,15
27,14
26,13
25,12
24,11
23,10
22,9
21,8
20,8
19,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,18
18,19
18,20
18,21
19,22
20,23
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,25
33,26
32,27
31,28
30,29
29,30
28,31
27,32
26,32
25,32
24,32
23,32
22,32
21,32
20,32
19,32
18,32
17,32
16,32
15,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,44
14,45
14,46
15,47
16,47
17,47
18,46
19,45
20,44
21,43
22,42
23,41
24,40
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,40
37,40
38,40
39,40
40,40
41,40
42,40
43,40
44,40
45,40
