x,z
6.100000000000000000e+01,2.900000000000000000e+01
6.064644660940672338e+01,2.935355339059327306e+01
6.029289321881345387e+01,2.970710678118654613e+01
5.993933982822017725e+01,3.006066017177982275e+01
5.958578643762690774e+01,3.041421356237309581e+01
5.923223304703363112e+01,3.076776695296636888e+01
5.882842712474619162e+01,3.100000000000000000e+01
5.832842712474619162e+01,3.100000000000000000e+01
5.782842712474619162e+01,3.100000000000000000e+01
5.732842712474619162e+01,3.100000000000000000e+01
5.687867965644035451e+01,3.087867965644035806e+01
5.652512626584708499e+01,3.052512626584708499e+01
5.617157287525380838e+01,3.017157287525380838e+01
5.581801948466053886e+01,2.981801948466053531e+01
5.546446609406726225e+01,2.946446609406726225e+01
5.511091270347398563e+01,2.911091270347398918e+01
5.475735931288071612e+01,2.875735931288071612e+01
5.440380592228743950e+01,2.840380592228743950e+01
5.405025253169416999e+01,2.805025253169416644e+01
5.369669914110089337e+01,2.769669914110089337e+01
5.334314575050761675e+01,2.734314575050762031e+01
5.298959235991434724e+01,2.698959235991434724e+01
5.263603896932107062e+01,2.663603896932107062e+01
5.228248557872780111e+01,2.628248557872779756e+01
5.192893218813452449e+01,2.592893218813452449e+01
5.157537879754124788e+01,2.557537879754125143e+01
5.122182540694797837e+01,2.522182540694797837e+01
5.086827201635470175e+01,2.486827201635470175e+01
5.051471862576143224e+01,2.451471862576142868e+01
5.016116523516815562e+01,2.416116523516815562e+01
4.980761184457487900e+01,2.380761184457488255e+01
4.945405845398160949e+01,2.345405845398160949e+01
4.910050506338833287e+01,2.310050506338833642e+01
4.874695167279506336e+01,2.274695167279505981e+01
4.839339828220178674e+01,2.239339828220178674e+01
4.803984489160851723e+01,2.203984489160851368e+01
4.768629150101524061e+01,2.168629150101524061e+01
4.733273811042196400e+01,2.133273811042196755e+01
4.697918471982869448e+01,2.097918471982869448e+01
4.662563132923541787e+01,2.062563132923542142e+01
4.627207793864214835e+01,2.027207793864214480e+01
4.591852454804887174e+01,1.991852454804887174e+01
4.556497115745560222e+01,1.956497115745559867e+01
4.521141776686232561e+01,1.921141776686232561e+01
4.485786437626904899e+01,1.885786437626905254e+01
4.450431098567577948e+01,1.850431098567577948e+01
4.415075759508250286e+01,1.815075759508250641e+01
4.379720420448923335e+01,1.779720420448922980e+01
4.344365081389595673e+01,1.744365081389595673e+01
4.309009742330268722e+01,1.709009742330268367e+01
4.262741699796952588e+01,1.700000000000000000e+01
4.212741699796952588e+01,1.700000000000000000e+01
4.162741699796952588e+01,1.700000000000000000e+01
4.112741699796952588e+01,1.700000000000000000e+01
4.062741699796952588e+01,1.700000000000000000e+01
4.012741699796952588e+01,1.700000000000000000e+01
