x,z,y
43.04,25.20,8.00
43.40,24.85,8.00
43.75,24.50,8.00
44.10,24.14,8.00
44.46,23.79,8.00
44.81,23.44,8.00
45.16,23.08,8.00
45.52,22.73,8.00
45.87,22.38,8.00
46.22,22.02,8.00
46.58,21.67,8.00
46.93,21.32,8.00
46.80,20.96,8.00
46.45,20.61,8.00
46.09,20.25,8.00
45.74,19.90,8.00
45.38,19.55,8.00
45.03,19.19,8.00
44.68,18.84,8.00
44.32,18.49,8.00
43.97,18.13,8.00
43.62,17.78,8.00
43.26,17.43,8.00
42.91,17.07,8.00
42.56,16.72,8.00
42.20,16.37,8.00
41.85,16.01,8.00
41.50,15.66,8.00
41.14,15.31,8.00
40.68,15.20,8.00
40.18,15.20,8.00
39.68,15.20,8.00
39.18,15.20,8.00
38.68,15.20,8.00
38.18,15.20,8.00
37.68,15.20,8.00
37.18,15.20,8.00
36.79,15.46,8.00
36.44,15.81,8.00
36.08,16.16,8.00
35.73,16.52,8.00
35.37,16.87,8.00
35.04,17.23,8.00
35.04,17.73,8.00
35.04,18.23,8.00
35.04,18.73,8.00
35.04,19.23,8.00
35.04,19.73,8.00
35.04,20.23,8.00
35.04,20.73,8.00
35.04,21.23,8.00
35.04,21.73,8.00
35.04,22.23,8.00
35.04,22.73,8.00
35.04,23.23,8.00
35.04,23.73,8.00
35.04,24.23,8.00
35.04,24.73,8.00
35.04,25.23,8.00
35.04,25.73,8.00
35.04,26.23,8.00
35.04,26.73,8.00
35.04,27.23,8.00
35.04,27.73,8.00
35.04,28.23,8.00
35.04,28.73,8.00
35.04,29.23,8.00
35.04,29.73,8.00
35.04,30.23,8.00
35.04,30.73,8.00
35.04,31.23,8.00
35.04,31.73,8.00
35.04,32.23,8.00
35.04,32.73,8.00
35.04,33.23,8.00
35.04,33.73,8.00
35.04,34.23,8.00
35.04,34.73,8.00
35.04,35.23,8.00
35.04,35.73,8.00
35.04,36.23,8.00
35.04,36.73,8.00
35.04,37.23,8.00
35.04,37.73,8.00
35.04,38.23,8.00
35.04,38.73,8.00
35.06,39.23,8.00
35.42,39.58,8.00
35.77,39.93,8.00
36.12,40.29,8.00
36.48,40.64,8.00
36.83,40.99,8.00
37.18,41.35,8.00
37.54,41.70,8.00
37.89,42.05,8.00
38.24,42.41,8.00
38.60,42.76,8.00
38.95,43.11,8.00
39.31,43.47,8.00
39.66,43.82,8.00
40.01,44.18,8.00
40.37,44.53,8.00
40.72,44.88,8.00
41.07,45.24,8.00
41.43,45.59,8.00
41.78,45.94,8.00
42.13,46.30,8.00
42.49,46.65,8.00
42.84,47.00,8.00
43.26,47.20,8.00
43.76,47.20,8.00
44.26,47.20,8.00
44.76,47.20,8.00
45.26,47.20,8.00
45.76,47.20,8.00
46.26,47.20,8.00
46.76,47.20,8.00
47.26,47.20,8.00
47.76,47.20,8.00
48.26,47.20,8.00
48.76,47.20,8.00
49.26,47.20,8.00
49.76,47.20,8.00
50.26,47.20,8.00
50.76,47.20,8.00
51.26,47.20,8.00
51.76,47.20,8.00
52.26,47.20,8.00
52.76,47.20,8.00
53.26,47.20,8.00
53.76,47.20,8.00
54.26,47.20,8.00
54.76,47.20,8.00
55.26,47.20,8.00
55.76,47.20,8.00
56.26,47.20,8.00
56.76,47.20,8.00
57.26,47.20,8.00
57.76,47.20,8.00
58.26,47.20,8.00
58.76,47.20,8.00
59.26,47.20,8.00
59.76,47.20,8.00
60.26,47.20,8.00
60.76,47.20,8.00
61.19,47.36,8.00
61.55,47.71,8.00
61.90,48.06,8.00
62.25,48.42,8.00
62.61,48.77,8.00
62.96,49.12,8.00
63.32,49.48,8.00
63.67,49.83,8.00
64.02,50.19,8.00
64.38,50.54,8.00
64.73,50.89,8.00
65.00,51.25,8.00
64.65,51.60,8.00
64.29,51.95,8.00
63.94,52.31,8.00
63.59,52.66,8.00
63.23,53.01,8.00
62.88,53.37,8.00
62.53,53.72,8.00
62.17,54.07,8.00
61.82,54.43,8.00
61.46,54.78,8.00
61.11,55.14,8.00
60.76,55.49,8.00
60.40,55.84,8.00
60.05,56.20,8.00
59.70,56.55,8.00
59.34,56.90,8.00
58.99,57.26,8.00
58.64,57.61,8.00
58.28,57.96,8.00
57.93,58.32,8.00
57.58,58.67,8.00
57.22,59.02,8.00
56.87,59.38,8.00
56.51,59.73,8.00
56.16,60.09,8.00
55.81,60.44,8.00
55.45,60.79,8.00
55.10,61.15,8.00
54.75,61.50,8.00
54.39,61.85,8.00
54.04,62.21,8.00
53.69,62.56,8.00
53.33,62.91,8.00
52.95,63.20,8.00
52.45,63.20,8.00
51.95,63.20,8.00
51.45,63.20,8.00
50.95,63.20,8.00
50.45,63.20,8.00
49.95,63.20,8.00
49.45,63.20,8.00
48.95,63.20,8.00
48.45,63.20,8.00
47.95,63.20,8.00
47.45,63.20,8.00
46.95,63.20,8.00
46.45,63.20,8.00
45.95,63.20,8.00
45.45,63.20,8.00
44.95,63.20,8.00
44.45,63.20,8.00
43.95,63.20,8.00
43.45,63.20,8.00
42.95,63.20,8.00
42.45,63.20,8.00
41.95,63.20,8.00
41.45,63.20,8.00
40.95,63.20,8.00
40.45,63.20,8.00
39.95,63.20,8.00
39.45,63.20,8.00
38.95,63.20,8.00
38.45,63.20,8.00
37.95,63.20,8.00
37.45,63.20,8.00
36.95,63.20,8.00
36.45,63.20,8.00
35.95,63.20,8.00
35.45,63.20,8.00
34.95,63.20,8.00
34.45,63.20,8.00
33.95,63.20,8.00
33.45,63.20,8.00
32.95,63.20,8.00
32.45,63.20,8.00
31.95,63.20,8.00
31.45,63.20,8.00
30.95,63.20,8.00
30.45,63.20,8.00
29.95,63.20,8.00
29.45,63.20,8.00
28.98,63.27,8.00
28.63,63.62,8.00
28.27,63.97,8.00
27.92,64.33,8.00
27.57,64.68,8.00
27.21,65.03,8.00
27.04,65.46,8.00
27.04,65.96,8.00
27.04,66.46,8.00
27.04,66.96,8.00
27.04,67.46,8.00
27.04,67.96,8.00
27.04,68.46,8.00
27.04,68.96,8.00
27.04,69.46,8.00
27.04,69.96,8.00
27.04,70.46,8.00
27.04,70.96,8.00
27.04,71.46,8.00
27.04,71.96,8.00
27.04,72.46,8.00
27.04,72.96,8.00
27.04,73.46,8.00
27.04,73.96,8.00
27.04,74.46,8.00
27.04,74.96,8.00
27.04,75.46,8.00
27.04,75.96,8.00
27.04,76.46,8.00
27.04,76.96,8.00
27.04,77.46,8.00
27.04,77.96,8.00
27.04,78.46,8.00
27.04,78.96,8.00
27.04,79.46,8.00
27.04,79.96,8.00
27.04,80.46,8.00
27.04,80.96,8.00
27.04,81.46,8.00
27.04,81.96,8.00
