x,z,y
59.75,26.86,10.00
60.10,27.21,10.00
60.46,27.57,10.00
60.81,27.92,10.00
61.16,28.27,10.00
61.52,28.63,10.00
61.87,28.98,10.00
62.22,29.33,10.00
62.58,29.69,10.00
62.93,30.04,10.00
63.29,30.40,10.00
63.64,30.75,10.00
63.99,31.10,10.00
64.35,31.46,10.00
64.70,31.81,10.00
65.05,32.16,10.00
65.41,32.52,10.00
65.76,32.87,10.00
66.11,33.22,10.00
66.47,33.58,10.00
66.82,33.93,10.00
67.17,34.28,10.00
67.53,34.64,10.00
67.88,34.99,10.00
68.24,35.35,10.00
68.59,35.70,10.00
68.94,36.05,10.00
69.30,36.41,10.00
69.65,36.76,10.00
70.00,37.11,10.00
70.36,37.47,10.00
70.71,37.82,10.00
71.06,38.17,10.00
71.42,38.53,10.00
71.77,38.88,10.00
72.12,39.23,10.00
72.48,39.59,10.00
72.83,39.94,10.00
73.19,40.30,10.00
73.54,40.65,10.00
73.89,41.00,10.00
74.25,41.36,10.00
74.60,41.71,10.00
74.95,42.06,10.00
75.31,42.42,10.00
75.66,42.77,10.00
76.01,43.12,10.00
76.37,43.48,10.00
76.72,43.83,10.00
77.21,43.86,10.00
77.71,43.86,10.00
78.07,44.18,10.00
78.43,44.54,10.00
78.78,44.89,10.00
79.13,45.24,10.00
79.49,45.60,10.00
79.84,45.95,10.00
80.20,46.31,10.00
80.55,46.66,10.00
80.90,47.01,10.00
81.26,47.37,10.00
81.61,47.72,10.00
81.96,48.07,10.00
82.32,48.43,10.00
82.67,48.78,10.00
83.02,49.13,10.00
83.38,49.49,10.00
83.73,49.84,10.00
84.08,50.19,10.00
84.44,50.55,10.00
84.79,50.90,10.00
85.15,51.26,10.00
85.50,51.61,10.00
85.85,51.96,10.00
86.21,52.32,10.00
86.56,52.67,10.00
86.91,53.02,10.00
87.27,53.38,10.00
87.62,53.73,10.00
87.97,54.08,10.00
88.33,54.44,10.00
88.68,54.79,10.00
89.03,55.14,10.00
89.39,55.50,10.00
89.74,55.85,10.00
90.09,56.20,10.00
90.45,56.56,10.00
90.80,56.91,10.00
91.16,57.27,10.00
91.51,57.62,10.00
91.86,57.97,10.00
92.22,58.33,10.00
92.57,58.68,10.00
92.92,59.03,10.00
93.28,59.39,10.00
93.63,59.74,10.00
93.98,60.09,10.00
94.34,60.45,10.00
94.69,60.80,10.00
95.04,61.15,10.00
95.40,61.51,10.00
95.75,61.86,10.00
96.11,62.22,10.00
96.46,62.57,10.00
96.81,62.92,10.00
97.17,63.28,10.00
97.52,63.63,10.00
97.87,63.98,10.00
98.23,64.34,10.00
98.58,64.69,10.00
98.93,65.04,10.00
99.29,65.40,10.00
99.64,65.75,10.00
99.99,66.10,10.00
100.35,66.46,10.00
100.70,66.81,10.00
101.06,67.17,10.00
101.41,67.52,10.00
101.76,67.87,10.00
102.12,68.23,10.00
102.47,68.58,10.00
102.82,68.93,10.00
103.18,69.29,10.00
103.53,69.64,10.00
103.88,69.99,10.00
104.24,70.35,10.00
104.59,70.70,10.00
104.94,71.05,10.00
105.30,71.41,10.00
105.65,71.76,10.00
106.00,72.11,10.00
106.36,72.47,10.00
106.71,72.82,10.00
107.07,73.18,10.00
107.42,73.53,10.00
107.77,73.88,10.00
108.13,74.24,10.00
108.48,74.59,10.00
108.83,74.94,10.00
109.19,75.30,10.00
109.54,75.65,10.00
109.89,76.00,10.00
110.25,76.36,10.00
110.60,76.71,10.00
110.95,77.06,10.00
111.31,77.42,10.00
111.66,77.77,10.00
112.02,78.13,10.00
112.37,78.48,10.00
112.72,78.83,10.00
113.08,79.19,10.00
113.43,79.54,10.00
113.78,79.89,10.00
114.14,80.25,10.00
114.49,80.60,10.00
114.84,80.95,10.00
115.20,81.31,10.00
115.55,81.66,10.00
115.90,82.01,10.00
116.26,82.37,10.00
116.61,82.72,10.00
116.96,83.07,10.00
117.32,83.43,10.00
117.67,83.78,10.00
118.03,84.14,10.00
118.38,84.49,10.00
118.73,84.84,10.00
119.09,85.20,10.00
119.44,85.55,10.00
119.79,85.90,10.00
120.15,86.26,10.00
120.50,86.61,10.00
120.85,86.96,10.00
121.21,87.32,10.00
121.56,87.67,10.00
121.91,88.02,10.00
122.27,88.38,10.00
122.62,88.73,10.00
122.98,89.09,10.00
123.33,89.44,10.00
123.68,89.79,10.00
124.04,90.15,10.00
124.39,90.50,10.00
124.74,90.85,10.00
125.10,91.21,10.00
125.45,91.56,10.00
125.80,91.91,10.00
