x,z,y
58.54,26.90,8.00
58.89,27.25,8.00
59.25,27.61,8.00
59.60,27.96,8.00
59.95,28.31,8.00
60.31,28.67,8.00
60.54,29.07,8.00
60.54,29.57,8.00
60.54,30.07,8.00
60.54,30.57,8.00
60.54,31.07,8.00
60.54,31.57,8.00
60.54,32.07,8.00
60.54,32.57,8.00
60.54,33.07,8.00
60.54,33.57,8.00
60.54,34.07,8.00
60.54,34.57,8.00
60.54,35.07,8.00
60.54,35.57,8.00
60.54,36.07,8.00
60.54,36.57,8.00
60.54,37.07,8.00
60.54,37.57,8.00
60.54,38.07,8.00
60.54,38.57,8.00
60.54,39.07,8.00
60.54,39.57,8.00
60.54,40.07,8.00
60.54,40.57,8.00
60.54,41.07,8.00
60.54,41.57,8.00
60.54,42.07,8.00
60.54,42.57,8.00
60.54,43.07,8.00
60.54,43.57,8.00
60.54,44.07,8.00
60.54,44.57,8.00
60.54,45.07,8.00
60.54,45.57,8.00
60.54,46.07,8.00
60.54,46.57,8.00
60.54,47.07,8.00
60.54,47.57,8.00
60.54,48.07,8.00
60.54,48.57,8.00
60.54,49.07,8.00
60.54,49.57,8.00
60.54,50.07,8.00
60.54,50.57,8.00
60.66,51.02,8.00
61.01,51.37,8.00
61.37,51.73,8.00
61.72,52.08,8.00
62.08,52.44,8.00
62.43,52.79,8.00
62.78,53.14,8.00
63.14,53.50,8.00
63.49,53.85,8.00
63.84,54.20,8.00
64.26,54.40,8.00
64.70,54.24,8.00
65.05,53.89,8.00
65.40,53.54,8.00
65.76,53.18,8.00
66.11,52.83,8.00
66.46,52.48,8.00
66.82,52.12,8.00
67.17,51.77,8.00
67.53,51.41,8.00
67.88,51.06,8.00
68.23,50.71,8.00
68.59,50.35,8.00
68.94,50.00,8.00
69.29,49.65,8.00
69.65,49.29,8.00
70.00,48.94,8.00
70.35,48.59,8.00
70.71,48.23,8.00
71.04,47.87,8.00
71.04,47.37,8.00
71.04,46.87,8.00
71.04,46.37,8.00
71.04,45.87,8.00
71.04,45.37,8.00
71.04,44.87,8.00
71.04,44.37,8.00
71.04,43.87,8.00
71.04,43.37,8.00
71.04,42.87,8.00
71.04,42.37,8.00
71.04,41.87,8.00
71.04,41.37,8.00
71.04,40.87,8.00
71.04,40.37,8.00
71.04,39.87,8.00
71.04,39.37,8.00
71.04,38.87,8.00
71.04,38.37,8.00
71.04,37.87,8.00
71.04,37.37,8.00
71.04,36.87,8.00
71.04,36.37,8.00
71.04,35.87,8.00
71.04,35.37,8.00
71.04,34.87,8.00
71.04,34.37,8.00
71.04,33.87,8.00
71.04,33.37,8.00
71.04,32.87,8.00
71.04,32.37,8.00
71.04,31.87,8.00
71.04,31.37,8.00
71.04,30.87,8.00
71.04,30.37,8.00
71.04,29.87,8.00
71.04,29.37,8.00
71.04,28.87,8.00
71.04,28.37,8.00
71.04,27.87,8.00
71.04,27.37,8.00
71.04,26.87,8.00
71.04,26.37,8.00
71.04,25.87,8.00
71.04,25.37,8.00
71.04,24.87,8.00
71.04,24.37,8.00
71.04,23.87,8.00
71.04,23.37,8.00
71.04,22.87,8.00
71.04,22.37,8.00
71.04,21.87,8.00
71.04,21.37,8.00
71.04,20.87,8.00
71.04,20.37,8.00
71.04,19.87,8.00
71.04,19.37,8.00
71.06,18.88,8.00
71.41,18.53,8.00
71.86,18.40,8.00
72.36,18.40,8.00
72.86,18.40,8.00
73.36,18.40,8.00
73.86,18.40,8.00
74.36,18.40,8.00
74.86,18.40,8.00
75.36,18.40,8.00
75.86,18.40,8.00
76.36,18.40,8.00
76.86,18.40,8.00
77.36,18.40,8.00
77.86,18.40,8.00
78.27,18.63,8.00
78.62,18.98,8.00
78.98,19.34,8.00
79.33,19.69,8.00
79.68,20.04,8.00
80.04,20.40,8.00
80.39,20.75,8.00
80.74,21.10,8.00
81.10,21.46,8.00
81.45,21.81,8.00
81.54,22.27,8.00
81.54,22.77,8.00
81.54,23.27,8.00
81.54,23.77,8.00
81.54,24.27,8.00
81.54,24.77,8.00
81.54,25.27,8.00
81.54,25.77,8.00
81.54,26.27,8.00
81.54,26.77,8.00
81.54,27.27,8.00
81.54,27.77,8.00
81.54,28.27,8.00
81.54,28.77,8.00
81.54,29.27,8.00
81.54,29.77,8.00
81.54,30.27,8.00
81.54,30.77,8.00
81.54,31.27,8.00
81.54,31.77,8.00
81.54,32.27,8.00
81.54,32.77,8.00
81.54,33.27,8.00
81.54,33.77,8.00
81.54,34.27,8.00
81.54,34.77,8.00
81.54,35.27,8.00
81.54,35.77,8.00
81.54,36.27,8.00
81.54,36.77,8.00
81.54,37.27,8.00
81.54,37.77,8.00
81.54,38.27,8.00
81.54,38.77,8.00
81.54,39.27,8.00
81.54,39.77,8.00
81.54,40.27,8.00
81.54,40.77,8.00
81.54,41.27,8.00
81.54,41.77,8.00
81.54,42.27,8.00
81.54,42.77,8.00
81.54,43.27,8.00
81.54,43.77,8.00
81.54,44.27,8.00
81.54,44.77,8.00
81.54,45.27,8.00
81.54,45.77,8.00
81.54,46.27,8.00
81.54,46.77,8.00
81.54,47.27,8.00
81.54,47.77,8.00
81.54,48.27,8.00
81.54,48.77,8.00
81.54,49.27,8.00
81.54,49.77,8.00
81.54,50.27,8.00
81.54,50.77,8.00
81.80,51.16,8.00
82.16,51.52,8.00
82.51,51.87,8.00
82.86,52.22,8.00
83.22,52.58,8.00
83.57,52.93,8.00
83.92,53.28,8.00
84.28,53.64,8.00
84.63,53.99,8.00
84.99,54.35,8.00
85.46,54.40,8.00
85.84,54.10,8.00
86.19,53.75,8.00
86.55,53.39,8.00
86.90,53.04,8.00
87.25,52.69,8.00
87.61,52.33,8.00
87.96,51.98,8.00
88.31,51.63,8.00
88.67,51.27,8.00
89.02,50.92,8.00
89.37,50.57,8.00
89.73,50.21,8.00
90.08,49.86,8.00
90.44,49.50,8.00
90.54,49.05,8.00
90.54,48.55,8.00
90.54,48.05,8.00
90.54,47.55,8.00
90.54,47.05,8.00
90.54,46.55,8.00
90.54,46.05,8.00
90.54,45.55,8.00
90.54,45.05,8.00
90.54,44.55,8.00
90.54,44.05,8.00
90.54,43.55,8.00
90.54,43.05,8.00
90.54,42.55,8.00
90.54,42.05,8.00
90.54,41.55,8.00
90.54,41.05,8.00
90.54,40.55,8.00
90.54,40.05,8.00
90.54,39.55,8.00
90.54,39.05,8.00
90.54,38.55,8.00
90.54,38.05,8.00
90.54,37.55,8.00
90.54,37.05,8.00
90.54,36.55,8.00
90.54,36.05,8.00
90.54,35.55,8.00
90.54,35.05,8.00
90.54,34.55,8.00
90.54,34.05,8.00
90.54,33.55,8.00
90.54,33.05,8.00
90.54,32.55,8.00
90.54,32.05,8.00
90.54,31.55,8.00
90.54,31.05,8.00
90.54,30.55,8.00
90.54,30.05,8.00
90.54,29.55,8.00
90.54,29.05,8.00
90.54,28.55,8.00
90.54,28.05,8.00
90.54,27.55,8.00
90.54,27.05,8.00
90.54,26.55,8.00
90.54,26.05,8.00
90.54,25.55,8.00
90.54,25.05,8.00
90.54,24.55,8.00
90.54,24.05,8.00
90.54,23.55,8.00
90.54,23.05,8.00
90.54,22.55,8.00
90.54,22.05,8.00
90.54,21.55,8.00
90.54,21.05,8.00
90.54,20.55,8.00
90.54,20.05,8.00
90.54,19.55,8.00
90.54,19.05,8.00
90.79,18.65,8.00
91.18,18.40,8.00
91.68,18.40,8.00
92.18,18.40,8.00
92.68,18.40,8.00
93.18,18.40,8.00
93.68,18.40,8.00
94.18,18.40,8.00
94.68,18.40,8.00
95.18,18.40,8.00
95.68,18.40,8.00
96.18,18.40,8.00
96.68,18.40,8.00
97.18,18.40,8.00
97.68,18.40,8.00
98.14,18.50,8.00
98.50,18.86,8.00
98.85,19.21,8.00
99.20,19.56,8.00
99.56,19.92,8.00
99.91,20.27,8.00
100.26,20.62,8.00
100.62,20.98,8.00
100.97,21.33,8.00
101.04,21.80,8.00
101.04,22.30,8.00
101.04,22.80,8.00
101.04,23.30,8.00
101.04,23.80,8.00
101.04,24.30,8.00
101.04,24.80,8.00
101.04,25.30,8.00
101.04,25.80,8.00
101.04,26.30,8.00
101.04,26.80,8.00
101.04,27.30,8.00
101.04,27.80,8.00
101.04,28.30,8.00
101.04,28.80,8.00
101.04,29.30,8.00
101.04,29.80,8.00
101.04,30.30,8.00
101.04,30.80,8.00
101.04,31.30,8.00
101.04,31.80,8.00
101.04,32.30,8.00
101.04,32.80,8.00
101.04,33.30,8.00
101.04,33.80,8.00
101.04,34.30,8.00
101.04,34.80,8.00
101.04,35.30,8.00
101.04,35.80,8.00
101.04,36.30,8.00
101.04,36.80,8.00
101.04,37.30,8.00
101.04,37.80,8.00
101.04,38.30,8.00
101.04,38.80,8.00
