x,z
30,14
29,14
29,14
28,15
28,15
27,14
27,14
27,14
26,13
26,13
26,13
25,12
25,12
25,12
24,11
24,11
24,11
23,10
23,10
22,9
22,9
22,9
21,8
21,8
21,8
20,8
20,8
19,8
19,8
18,8
18,8
18,8
18,9
18,9
18,10
18,10
18,11
18,11
18,12
18,12
18,13
18,13
18,14
18,14
18,15
18,15
18,16
18,16
18,17
18,17
18,18
18,18
18,19
18,19
18,20
18,20
18,21
18,21
18,21
19,22
19,22
19,22
20,23
20,23
21,24
21,24
22,24
22,24
23,24
23,24
24,24
24,24
25,24
25,24
26,24
26,24
27,24
27,24
28,24
28,24
29,24
29,24
30,24
30,24
31,24
31,24
31,24
32,25
32,25
32,25
32,26
32,26
32,26
31,27
31,27
31,27
30,28
30,28
30,28
29,29
29,29
28,30
28,30
28,30
27,31
27,31
27,31
26,32
26,32
25,32
25,32
24,32
24,32
23,32
23,32
22,32
22,32
21,32
21,32
20,32
20,32
19,32
19,32
18,32
18,32
17,32
17,32
16,32
16,32
15,32
15,32
14,32
14,32
14,32
14,33
14,33
14,34
14,34
14,35
14,35
14,36
14,36
14,37
14,37
14,38
14,38
14,39
14,39
14,40
14,40
14,41
14,41
14,42
14,42
14,43
14,43
14,44
14,44
14,45
14,45
14,46
14,46
14,46
15,47
15,47
16,47
16,47
17,46
17,46
17,46
18,45
18,45
19,44
19,44
19,44
20,43
20,43
20,43
21,42
21,42
21,42
22,41
22,41
22,41
23,40
23,40
23,40
24,40
24,40
25,40
25,40
26,40
26,40
27,40
27,40
28,40
28,40
29,40
29,40
30,40
30,40
31,40
31,40
32,40
32,40
33,40
33,40
34,40
34,40
35,40
35,40
36,40
36,40
37,40
37,40
38,40
38,40
39,40
39,40
40,40
40,40
41,40
41,40
42,40
42,40
43,40
43,40
44,40
44,40
45,40
